threshold,precision,recall,f1,accuracy
0.47000000000000003,0.5,0.18859649122807018,0.27388535031847133,0.9772
0.47500000000000003,0.5,0.18859649122807018,0.27388535031847133,0.9772
0.48000000000000004,0.49411764705882355,0.18421052631578946,0.268370607028754,0.9771
0.48500000000000004,0.4939759036144578,0.17982456140350878,0.26366559485530544,0.9771
0.49,0.5064935064935064,0.17105263157894737,0.25573770491803277,0.9773
0.495,0.5066666666666667,0.16666666666666666,0.2508250825082508,0.9773
0.5,0.5205479452054794,0.16666666666666666,0.25249169435215946,0.9775
0.505,0.5428571428571428,0.16666666666666666,0.2550335570469799,0.9778
0.51,0.5507246376811594,0.16666666666666666,0.2558922558922559,0.9779
0.515,0.5384615384615384,0.15350877192982457,0.23890784982935154,0.9777
0.52,0.5483870967741935,0.14912280701754385,0.23448275862068965,0.9778
0.525,0.5344827586206896,0.13596491228070176,0.21678321678321677,0.9776
0.53,0.509090909090909,0.12280701754385964,0.1978798586572438,0.9773
0.535,0.5,0.11842105263157894,0.19148936170212766,0.9772
0.54,0.49056603773584906,0.11403508771929824,0.18505338078291814,0.9771
0.545,0.5,0.11403508771929824,0.18571428571428572,0.9772
0.55,0.5,0.11403508771929824,0.18571428571428572,0.9772
0.555,0.49019607843137253,0.10964912280701754,0.17921146953405018,0.9771
0.56,0.49019607843137253,0.10964912280701754,0.17921146953405018,0.9771
0.5650000000000001,0.46938775510204084,0.10087719298245613,0.16606498194945848,0.9769
